"BATTERY_ID","BATTERY_STATUS"
5402,"PASSED"
5400,"PASSED"
5401,"PASSED"
5450,"FAILED"
5451,"FAILED"
5452,"FAILED"
5453,"FAILED"
5454,"FAILED"
5455,"PASSED"
5456,"PASSED"
5457,"PASSED"
5458,"PASSED"
5459,"PASSED"
5460,"PASSED"
5461,"PASSED"
5462,"PASSED"
5463,"PASSED"
5464,"PASSED"
5465,"PASSED"
5466,"PASSED"
5467,"PASSED"
5468,"FAILED"
5469,"FAILED"
5470,"FAILED"
5471,"FAILED"
5472,"FAILED"
5473,"FAILED"
280000,"FAILED"
280001,"OTHER"
280002,"OTHER"
280003,"OTHER"
280004,"OTHER"
280005,"OTHER"
280006,"OTHER"
280007,"OTHER"
280008,"OTHER"
280009,"OTHER"
280010,"OTHER"
280011,"OTHER"
280012,"OTHER"
280013,"OTHER"
280014,"OTHER"
280015,"OTHER"
280016,"OTHER"
280017,"OTHER"
280050,"STORE"
280051,"STORE"
280052,"STORE"
280053,"STORE"
280054,"STORE"
280055,"STORE"
280056,"STORE"
280057,"STORE"
280058,"STORE"
280059,"STORE"
281003,"FAILED"
281004,"OTHER"
281005,"OTHER"
281006,"OTHER"
281007,"OTHER"
281008,"OTHER"
281009,"OTHER"
281010,"OTHER"
281011,"OTHER"
281012,"OTHER"
281013,"OTHER"
281014,"OTHER"
281015,"OTHER"
281017,"OTHER"
281018,"OTHER"
281020,"OTHER"
281021,"OTHER"
281023,"OTHER"
281024,"OTHER"
281026,"OTHER"
281028,"OTHER"
281029,"OTHER"
281030,"OTHER"
281031,"OTHER"
281032,"OTHER"
281033,"OTHER"
281034,"OTHER"
281035,"OTHER"
281036,"OTHER"
281037,"OTHER"
281038,"OTHER"
281039,"OTHER"
281040,"OTHER"
281041,"OTHER"
281042,"OTHER"
281043,"OTHER"
281044,"OTHER"
281046,"OTHER"
281047,"OTHER"
281048,"OTHER"
281049,"OTHER"
281050,"OTHER"
281051,"FAILED"
281052,"OTHER"
