"NOTE_ID","MAX_VISIBILITY","IS_AAA_FEEDBACK","AAA_STATUS","NOTE_TYPE","TEST_PERIOD","BATTERY_GROUP","BATTERY_ID","BATTERY_STATUS"
6134,2,0,"","TRAINEE",3,2200,5513,"EMPLOYED"
6135,2,0,"","TRAINEE",3,2200,5507,"EMPLOYED"
6136,2,0,"","TRAINEE",3,2200,5515,"EMPLOYED"
6137,2,0,"","TRAINEE",3,2200,5509,"EMPLOYED"
6138,2,0,"","TRAINEE",3,2200,5517,"EMPLOYED"
6139,2,0,"","TRAINEE",3,2200,5512,"EMPLOYED"
6140,2,0,"","TRAINEE",3,2200,5519,"DROPPED"
6141,2,0,"","TRAINEE",3,2200,5505,"EMPLOYED"
6142,2,0,"","TRAINEE",3,2200,5508,"EMPLOYED"
6143,2,0,"","TRAINEE",3,2200,5516,"EMPLOYED"
5051,2,0,"","TRAINEE",1,2050,5354,"EMPLOYED"
5052,2,0,"","TRAINEE",1,2050,5350,"EMPLOYED"
5053,2,0,"","TRAINEE",1,2050,5355,"EMPLOYED"
5054,2,0,"","TRAINEE",1,2050,5352,"EMPLOYED"
5055,2,0,"","TRAINEE",1,2050,5356,"DROPPED"
5056,2,0,"","TRAINEE",1,2050,5359,"DROPPED"
5057,2,0,"","TRAINEE",1,2050,5351,"EMPLOYED"
5058,2,0,"","TRAINEE",1,2050,5357,"DROPPED"
5059,2,0,"","TRAINEE",1,2050,5353,"EMPLOYED"
5069,2,0,"","TRAINEE",3,2050,5354,"EMPLOYED"
5070,2,0,"","TRAINEE",3,2050,5350,"EMPLOYED"
5071,2,0,"","TRAINEE",3,2050,5355,"EMPLOYED"
5072,2,0,"","TRAINEE",3,2050,5352,"EMPLOYED"
5073,2,0,"","TRAINEE",3,2050,5359,"DROPPED"
5074,2,0,"","TRAINEE",3,2050,5351,"EMPLOYED"
5075,2,0,"","TRAINEE",3,2050,5357,"DROPPED"
5076,2,0,"","TRAINEE",3,2050,5353,"EMPLOYED"
5109,2,0,"","TRAINEE",1,2100,5400,"EMPLOYED"
5110,2,0,"","TRAINEE",1,2100,5454,"DROPPED"
5111,2,0,"","TRAINEE",1,2100,5360,"EMPLOYED"
