"BATTERY_TEST_ID","RAW_SCORE","BATTERY_TEST_TYPE","TEST_PERIOD","BATTERY_GROUP","TEST_CATEGORY"
158043,25,"EXAM",7,112511,20
158044,25,"EXAM",7,112511,21
158045,25,"VERBAL",7,112511,21
158046,25,"VERBAL",7,112511,20
158047,100,"EXAM",4,113501,16
158048,100,"EXAM",4,113501,15
158049,100,"EXAM",4,113501,18
159000,100,"EXAM",4,113501,35
159001,100,"EXAM",4,113501,17
159002,50,"VERBAL",4,113501,18
159003,50,"VERBAL",4,113501,16
159004,50,"VERBAL",4,113501,35
159005,50,"VERBAL",4,113501,17
159006,100,"EXAM",4,113500,18
159007,100,"VERBAL",4,113500,18
159008,100,"VERBAL",2,113503,2
159009,100,"OTHER",2,113503,2
159010,100,"EXAM",4,113501,30
159011,100,"PROJECT",2,113503,2
159012,100,"EXAM",2,113503,2
159013,100,"EXAM",5,113501,19
159014,50,"VERBAL",5,113501,19
159015,100,"EXAM",5,113500,19
159016,100,"VERBAL",5,113500,19
159017,100,"EXAM",3,113503,3
159018,100,"VERBAL",3,113503,3
159019,100,"PROJECT",3,113503,1
159020,100,"EXAM",6,113500,20
159021,100,"VERBAL",6,113500,20
159022,100,"EXAM",6,113501,21
159023,50,"VERBAL",6,113501,21
159024,100,"EXAM",6,113501,3051
159025,50,"VERBAL",6,113501,3051
159026,100,"VERBAL",7,113501,31
159027,100,"EXAM",5,113503,19
159028,100,"EXAM",2,113504,1
159029,100,"EXAM",4,113504,1
159030,100,"EXAM",3,113504,1
159031,100,"EXAM",6,113503,21
159032,100,"EXAM",1,113505,40
159033,100,"EXAM",2,113505,2
159034,100,"EXAM",3,113505,41
159035,100,"PROJECT",6,113503,19
159036,100,"EXAM",1,113508,40
159037,100,"VERBAL",1,113508,40
159038,100,"EXAM",1,113506,1
159039,100,"EXAM",1,113513,1
159040,100,"EXAM",3,113506,3
159041,100,"VERBAL",1,113513,1
159042,100,"PROJECT",1,113513,1
159043,100,"VERBAL",1,113506,1
159044,100,"EXAM",2,113506,2
159045,100,"VERBAL",2,113506,2
159046,100,"VERBAL",3,113506,3
159047,100,"EXAM",1,113515,1
159048,100,"VERBAL",1,113515,1
159049,100,"OTHER",1,113515,1
160000,100,"EXAM",4,113506,12
160001,100,"EXAM",4,113506,22
160002,100,"VERBAL",4,113506,12
160003,100,"EXAM",2,113513,2
160004,100,"VERBAL",2,113513,2
160005,50,"OTHER",2,113513,2
160006,10,"VERBAL",1,113511,12
161000,100,"EXAM",2,113515,2
161001,100,"VERBAL",2,113515,2
161002,25,"OTHER",2,113515,2
161006,1,"EXAM",1,113516,1
161004,100,"OTHER",2,113515,2
161005,100,"VERBAL",1,113516,1
161007,100,"EXAM",1,113516,1
161008,100,"EXAM",3,113513,3050
161009,100,"VERBAL",3,113513,3050
161010,100,"EXAM",5,113506,16
161011,100,"EXAM",5,113506,18
161012,100,"EXAM",5,113506,2
161013,100,"VERBAL",5,113506,18
161014,25,"OTHER",1,113516,1
161015,100,"EXAM",3,113515,3
161016,100,"EXAM",3,113515,10
161017,100,"OTHER",3,113515,3
161018,100,"VERBAL",3,113515,3
161019,100,"PROJECT",3,113515,9
161020,100,"EXAM",4,113513,14
161021,100,"VERBAL",4,113513,14
161022,100,"VERBAL",2,113516,2
161023,100,"EXAM",2,113516,2
161024,100,"PROJECT",1,113516,1
